name,handedness,height,weight,avg,HR
Adolfo Phillips,Right Handed,73,175,0.247,59
Al Bumbry,Left Handed,68,170,0.281,54
Al Cowens,Right Handed,73,197,0.27,108
Al Downing,Right Handed,71,175,0.127,2
Al Ferrara,Right Handed,73,200,0.259,51
Al Gallagher,Right Handed,72,180,0.263,11
Al Jones,Right Handed,76,210,0,0
Al Lachowicz,Right Handed,75,198,0,0
Al Luplow,Left Handed,70,175,0.235,33
Al Oliver,Left Handed,72,195,0.303,219
Al Weis,Both Handed,72,160,0.219,7
Al Woods,Left Handed,75,190,0.271,35
Alan Ashby,Both Handed,74,185,0.245,90
Alan Bannister,Right Handed,71,170,0.27,19
Alan Knicely,Right Handed,72,190,0.213,12
Alan Wiggins,Both Handed,74,160,0.259,5
Alan Wirth,Right Handed,76,190,0,0
Albert Hall,Both Handed,71,155,0.251,5
Albert Williams,Right Handed,76,190,0,0
Alex Johnson,Right Handed,72,205,0.288,78
Alex Sanchez,Right Handed,74,185,0,0
Alex Trevino,Right Handed,70,165,0.249,23
Alfredo Martinez,Right Handed,75,185,0,0
Allan Ramirez,Right Handed,70,180,0,0
Amos Otis,Right Handed,71,165,0.277,193
Andre Robertson,Right Handed,70,155,0.251,5
Andre Thornton,Right Handed,75,200,0.254,253
Andres Mora,Right Handed,72,180,0.223,27
Andres Thomas,Right Handed,73,170,0.234,42
Andy Beene,Right Handed,75,205,0,0
Andy Etchebarren,Right Handed,73,190,0.235,49
Andy Kosco,Right Handed,75,205,0.236,73
Andy Messersmith,Right Handed,73,200,0.17,5
Andy Replogle,Right Handed,77,205,0,0
Angel Mangual,Right Handed,70,178,0.245,22
Angel Moreno,Left Handed,69,165,0,0
Angel Salazar,Right Handed,72,180,0.212,2
Art Howe,Right Handed,74,190,0.26,43
Art Shamsky,Left Handed,73,168,0.253,68
Aurelio Rodriguez,Right Handed,70,180,0.237,124
Bake McBride,Left Handed,74,190,0.299,63
Barbaro Garbey,Right Handed,70,170,0.267,11
Barry Bonnell,Right Handed,75,190,0.272,56
Barry Cort,Right Handed,77,210,0,0
Barry Evans,Right Handed,73,180,0.251,2
Barry Foote,Right Handed,75,205,0.23,57
Barry Raziano,Both Handed,70,175,0,0
Ben Callahan,Right Handed,79,230,0,0
Ben Oglivie,Left Handed,74,160,0.273,235
Benny Ayala,Right Handed,73,185,0.251,38
Bernie Allen,Left Handed,72,175,0.239,73
Bernie Carbo,Left Handed,71,173,0.264,96
Bert Bradley,Both Handed,73,190,0,0
Bert Campaneris,Right Handed,70,160,0.259,79
Biff Pocoroba,Both Handed,70,175,0.257,21
Bill Almon,Right Handed,75,180,0.254,36
Bill Buckner,Left Handed,72,185,0.289,174
Bill Castro,Right Handed,71,170,0,0
Bill Fahey,Left Handed,72,200,0.241,7
Bill Freehan,Right Handed,75,203,0.262,200
Bill Fulton,Right Handed,75,195,0,0
Bill Madlock,Right Handed,71,180,0.305,163
Bill Melton,Right Handed,74,200,0.253,160
Bill Mooneyham,Right Handed,72,175,0,0
Bill Moran,Right Handed,76,210,0,0
Bill Nahorodny,Right Handed,74,200,0.241,25
Bill Paschall,Right Handed,72,175,0,0
Bill Plummer,Right Handed,73,190,0.188,14
Bill Robinson,Right Handed,74,189,0.258,166
Bill Russell,Right Handed,72,175,0.263,46
Bill Sample,Right Handed,69,175,0.272,46
Bill Schroeder,Right Handed,74,200,0.24,61
Bill Sharp,Left Handed,70,178,0.255,9
Bill Stein,Right Handed,70,170,0.267,44
Bill Sudakis,Both Handed,73,190,0.234,59
Bill Voss,Left Handed,74,160,0.227,19
Bill Wilkinson,Right Handed,70,160,0,0
Billy Bryan,Left Handed,76,200,0.216,41
Billy Conigliaro,Right Handed,72,180,0.256,40
Billy Cowan,Right Handed,72,170,0.236,40
Billy Grabarkewitz,Right Handed,70,165,0.236,28
Billy North,Both Handed,71,185,0.261,20
Billy Smith,Both Handed,74,185,0.23,17
Bo Diaz,Right Handed,71,185,0.255,87
Bob Babcock,Right Handed,77,210,0,0
Bob Bailey,Right Handed,73,180,0.257,189
Bob Bailor,Right Handed,71,170,0.264,9
Bob Barton,Right Handed,72,175,0.226,9
Bob Boone,Right Handed,74,195,0.254,105
Bob Brenly,Right Handed,74,210,0.247,91
Bob Brower,Right Handed,71,185,0.242,17
Bob Burda,Left Handed,71,174,0.224,13
Bob Chance,Left Handed,74,196,0.261,24
Bob Coluccio,Right Handed,71,183,0.22,26
Bob Davidson,Right Handed,72,185,0,0
Bob Davis,Right Handed,72,180,0.197,6
Bob Dernier,Right Handed,72,160,0.255,23
Bob Didier,Both Handed,72,190,0.229,0
Bob Fallon,Left Handed,75,200,0,0
Bob Ferris,Right Handed,78,225,0,0
Bob Forsch,Right Handed,76,200,0.213,12
Bob Galasso,Left Handed,73,205,0,0
Bob Heise,Right Handed,72,175,0.247,1
Bob Horner,Right Handed,73,195,0.277,218
Bob Johnson,Right Handed,70,175,0.272,44
Bob Jones,Left Handed,74,195,0.221,20
Bob Kammeyer,Right Handed,76,210,0,0
Bob Kearney,Right Handed,72,190,0.233,27
Bob Knepper,Left Handed,75,195,0.137,6
Bob Meacham,Both Handed,73,175,0.236,8
Bob Molinaro,Left Handed,72,190,0.264,14
Bob Montgomery,Right Handed,73,195,0.258,23
Bob Oliver,Right Handed,75,205,0.256,94
Bob Randall,Right Handed,74,175,0.257,1
Bob Robertson,Right Handed,73,195,0.242,115
Bob Stinson,Both Handed,71,180,0.25,33
Bob Tillman,Right Handed,76,205,0.232,79
Bob Uecker,Right Handed,73,190,0.2,14
Bob Veale,Both Handed,78,212,0.114,0
Bob Veselic,Right Handed,72,175,0,0
Bob Watson,Right Handed,72,201,0.295,184
Bobby Bonds,Right Handed,73,190,0.268,332
Bobby Brown,Both Handed,74,190,0.245,26
Bobby Clark,Right Handed,72,190,0.239,19
Bobby Cox,Right Handed,71,180,0.225,9
Bobby Cuellar,Right Handed,71,188,0,0
Bobby Darwin,Right Handed,74,190,0.251,83
Bobby Grich,Right Handed,74,180,0.266,224
Bobby Klaus,Right Handed,70,170,0.208,6
Bobby Knoop,Right Handed,73,170,0.236,56
Bobby Mitchell_1,Left Handed,70,170,0.243,3
Bobby Mitchell_2,Right Handed,75,185,0.235,21
Bobby Murcer,Left Handed,71,160,0.277,252
Bobby Tolan,Left Handed,71,170,0.265,86
Bobby Valentine,Right Handed,70,189,0.26,12
Bobby Wine,Right Handed,73,187,0.215,30
Bombo Rivera,Right Handed,70,187,0.265,10
Boog Powell,Left Handed,76,230,0.266,339
Boots Day,Left Handed,69,160,0.256,8
Brad Wellman,Right Handed,72,170,0.231,6
Brant Alyea,Right Handed,75,215,0.247,38
Brian Allard,Right Handed,73,175,0,0
Brian Asselstine,Left Handed,73,175,0.254,12
Brian Denman,Right Handed,76,205,0,0
Brian Dubois,Left Handed,70,165,0,0
Brian Giles,Right Handed,73,165,0.228,10
Brian Snyder,Left Handed,75,185,0,0
Britt Burns,Left Handed,77,215,0,0
Brock Davis,Left Handed,70,160,0.26,1
Broderick Perkins,Left Handed,70,180,0.271,8
Bruce Benedict,Right Handed,73,175,0.242,18
Bruce Bochte,Left Handed,75,195,0.282,100
Bruce Bochy,Right Handed,75,205,0.239,26
Bruce Boisclair,Left Handed,74,185,0.263,10
Bruce Ellingsen,Left Handed,72,180,0,0
Bruce Miller,Right Handed,73,185,0.246,1
Bruce Robbins,Left Handed,73,190,0,0
Bruce Tanner,Left Handed,75,220,0,0
Bruce Taylor,Right Handed,72,178,0,0
Bryan Clutterbuck,Right Handed,76,223,0,0
Bryan Kelly,Right Handed,74,195,0,0
Bryan Little,Both Handed,70,160,0.245,3
Bryan Oelkers,Left Handed,75,192,0,0
Bubba Morton,Right Handed,70,175,0.267,14
Buck Martinez,Right Handed,70,190,0.225,58
Buck Rodgers,Both Handed,74,190,0.232,31
Bucky Dent,Right Handed,69,170,0.247,40
Bud Anderson,Right Handed,75,210,0,0
Bud Harrelson,Both Handed,71,160,0.236,7
Buddy Bell,Right Handed,73,180,0.279,201
Buddy Biancalana,Both Handed,71,160,0.205,6
Buddy Bradford,Right Handed,71,170,0.226,52
Bump Wills,Both Handed,69,172,0.266,36
Burt Hooton,Right Handed,73,210,0.123,4
Butch Edge,Right Handed,75,203,0,0
Butch Hobson,Right Handed,73,193,0.248,98
Butch Wynegar,Both Handed,73,190,0.255,65
Byron Browne,Right Handed,74,190,0.236,30
Byron McLaughlin,Right Handed,73,175,0,0
Cap Peterson,Right Handed,74,195,0.23,19
Cardell Camper,Right Handed,75,208,0,0
Carl Morton,Right Handed,72,200,0.156,7
Carl Taylor,Right Handed,74,200,0.266,10
Carl Warwick,Right Handed,70,170,0.248,31
Carl Yastrzemski,Left Handed,71,175,0.285,452
Carlos May,Left Handed,71,200,0.274,90
Carlos Velazquez,Right Handed,71,180,0,0
Carmen Fanzone,Right Handed,72,200,0.224,20
Catfish Hunter,Right Handed,72,190,0.226,6
Cecil Cooper,Left Handed,74,165,0.298,241
Cesar Cedeno,Right Handed,74,175,0.285,199
Cesar Geronimo,Left Handed,72,165,0.258,51
Cesar Gutierrez,Right Handed,69,155,0.235,0
Cesar Tovar,Right Handed,69,155,0.278,46
Champ Summers,Left Handed,74,205,0.255,54
Charley Smith,Right Handed,73,170,0.239,69
Charlie James,Right Handed,73,195,0.255,29
Charlie Mitchell,Right Handed,75,170,0,0
Charlie Moore,Right Handed,71,180,0.261,36
Charlie Spikes,Right Handed,75,215,0.246,65
Chet Lemon,Right Handed,72,190,0.273,215
Chico Escarrega,Right Handed,71,185,0,0
Chico Ruiz,Both Handed,72,169,0.24,2
Chico Salmon,Right Handed,70,160,0.249,31
Chris Bando,Both Handed,72,195,0.227,27
Chris Batton,Right Handed,76,195,0,0
Chris Brown,Right Handed,72,185,0.269,38
Chris Cannizzaro,Right Handed,72,190,0.235,18
Chris Chambliss,Left Handed,73,195,0.279,185
Chris Knapp,Right Handed,77,195,0,0
Chris Speier,Right Handed,73,175,0.246,112
Chuck Harrison,Right Handed,70,185,0.238,17
Chuck Hiller,Left Handed,71,170,0.243,20
Chuck Hinton,Right Handed,73,180,0.264,113
Chuck Hockenbery,Both Handed,73,195,0,0
Chuck Porter,Right Handed,75,187,0,0
Chuck Schilling,Right Handed,70,160,0.239,23
Cito Gaston,Right Handed,75,190,0.256,91
Claudell Washington,Left Handed,72,190,0.278,164
Clay Christiansen,Right Handed,77,205,0,0
Clay Dalrymple,Left Handed,72,190,0.233,55
Cleon Jones,Right Handed,72,185,0.281,93
Cliff Johnson,Right Handed,76,215,0.258,196
Clint Hurdle,Left Handed,75,195,0.259,32
Clint Zavaras,Right Handed,73,175,0,0
Coco Laboy,Right Handed,70,165,0.233,28
Colby Ward,Right Handed,74,185,0,0
Cookie Rojas,Right Handed,70,160,0.263,54
Craig Chamberlain,Right Handed,73,190,0,0
Craig Eaton,Right Handed,71,175,0,0
Craig Kusick,Right Handed,75,210,0.235,46
Craig Mitchell,Right Handed,75,180,0,0
Craig Reynolds,Left Handed,73,175,0.256,42
Craig Robinson,Right Handed,70,165,0.219,0
Curt Blefary,Left Handed,74,195,0.237,112
Curt Ford,Left Handed,70,150,0.245,7
Curt Kaufman,Right Handed,74,175,0,0
Curt Motton,Right Handed,68,164,0.213,25
Curt Wardle,Left Handed,77,220,0,0
Dal Maxvill,Right Handed,71,157,0.217,6
Dale Berra,Right Handed,72,180,0.236,49
Dalton Jones,Left Handed,73,180,0.235,41
Damaso Garcia,Right Handed,73,165,0.283,36
Dan Briggs,Left Handed,72,180,0.195,12
Dan Driessen,Left Handed,71,187,0.267,153
Dan Ford,Right Handed,73,185,0.27,121
Dan Meyer,Left Handed,71,180,0.253,86
Dan Morogiello,Left Handed,73,200,0,0
Dane Iorg,Left Handed,72,180,0.276,14
Danny Ainge,Right Handed,76,175,0.22,2
Danny Cater,Right Handed,72,170,0.276,66
Danny Fife,Right Handed,75,175,0,0
Danny Goodwin,Left Handed,73,195,0.236,13
Danny Thompson,Right Handed,72,183,0.248,15
Danny Walton,Right Handed,72,195,0.223,28
Darrel Chaney,Both Handed,74,188,0.217,14
Darrell Brown,Both Handed,72,184,0.274,1
Darrell Evans,Left Handed,74,200,0.248,414
Darrell Porter,Left Handed,72,193,0.247,188
Darryl Motley,Right Handed,69,196,0.243,44
Daryl Sconiers,Left Handed,74,185,0.265,15
Daryl Smith,Right Handed,76,185,0,0
Dave Campbell,Right Handed,73,180,0.213,20
Dave Cash,Right Handed,71,170,0.283,21
Dave Chalk,Right Handed,70,175,0.252,15
Dave Collins,Both Handed,71,175,0.272,32
Dave Concepcion,Right Handed,74,155,0.267,101
Dave Duncan,Right Handed,74,190,0.214,109
Dave Edwards,Right Handed,72,170,0.237,14
Dave Engle,Right Handed,75,210,0.262,31
Dave Ford,Right Handed,76,190,0,0
Dave Frost,Right Handed,78,235,0,0
Dave Hilton,Right Handed,71,191,0.213,6
Dave Hostetler,Right Handed,76,215,0.229,37
Dave Johnson,Right Handed,73,183,0,0
Dave Kingman,Right Handed,78,210,0.236,442
Dave Lemanczyk,Right Handed,76,235,0,0
Dave Marshall,Left Handed,73,182,0.246,16
Dave May,Left Handed,70,186,0.251,96
Dave McKay,Both Handed,73,195,0.229,21
Dave McNally,Right Handed,71,185,0.133,9
Dave Nelson,Right Handed,70,160,0.244,20
Dave Nicholson,Right Handed,74,215,0.212,61
Dave Rader,Left Handed,71,165,0.257,30
Dave Rajsich,Left Handed,77,175,0,0
Dave Revering,Left Handed,76,210,0.265,62
Dave Roberts_1,Right Handed,75,215,0.239,49
Dave Roberts_2,Left Handed,75,195,0.194,7
Dave Rosello,Right Handed,71,160,0.236,10
Dave Skaggs,Right Handed,74,200,0.241,3
Dave Smith,Right Handed,73,190,0,0
Dave Stapleton_1,Left Handed,73,185,0,0
Dave Stapleton_2,Right Handed,73,178,0.271,41
Davey Johnson,Right Handed,73,170,0.261,136
Davey Lopes,Right Handed,69,170,0.263,155
David Green,Right Handed,75,170,0.268,31
De Wayne Buice,Right Handed,72,170,0,0
De Wayne Vaughn,Right Handed,71,180,0,0
Dean Chance,Right Handed,75,200,0.066,0
Del Unser,Left Handed,73,180,0.258,87
Denis Menke,Right Handed,72,185,0.25,101
Dennis Burtt,Right Handed,72,180,0,0
Dennis DeBarr,Left Handed,74,190,0,0
Denny Doyle,Left Handed,69,175,0.25,16
Denny Lemaster,Right Handed,73,182,0.13,4
Denny McLain,Right Handed,73,185,0.133,1
Deron Johnson,Right Handed,74,200,0.244,245
Derrel Thomas,Both Handed,72,160,0.249,43
Dewey Robinson,Right Handed,72,180,0,0
Dick Allen,Right Handed,71,187,0.292,351
Dick Bertell,Right Handed,72,200,0.25,10
Dick Billings,Right Handed,73,195,0.227,16
Dick Davis,Right Handed,75,190,0.265,27
Dick Dietz,Right Handed,73,195,0.261,66
Dick Green,Right Handed,70,180,0.24,80
Dick Howser,Right Handed,68,155,0.248,16
Dick McAuliffe,Left Handed,71,176,0.247,197
Dick Nen,Left Handed,74,200,0.224,21
Dick Phillips,Left Handed,72,180,0.229,12
Dick Ruthven,Right Handed,75,190,0.183,1
Dick Simpson,Right Handed,76,176,0.207,15
Dick Tracewski,Right Handed,71,160,0.213,8
Doc Edwards,Right Handed,74,215,0.238,15
Domingo Ramos,Right Handed,70,154,0.24,8
Don Baylor,Right Handed,73,190,0.26,338
Don Buford,Both Handed,67,160,0.264,93
Don Cooper,Right Handed,73,185,0,0
Don Gordon,Right Handed,73,175,0,0
Don Hahn,Right Handed,73,180,0.236,7
Don Kainer,Right Handed,75,205,0,0
Don Kessinger,Both Handed,73,170,0.252,14
Don Leppert,Right Handed,74,220,0.229,15
Don Lock,Right Handed,74,195,0.238,122
Don Mason,Left Handed,71,160,0.205,3
Don Mincher,Left Handed,75,205,0.249,200
Don Money,Right Handed,73,170,0.261,176
Don Sutton,Right Handed,73,185,0.144,0
Don Welchel,Right Handed,76,205,0,0
Don Wert,Right Handed,70,162,0.242,77
Don Wilson,Right Handed,74,195,0.146,1
Donn Clendenon,Right Handed,76,209,0.274,159
Doug Ault,Right Handed,75,200,0.236,17
Doug Camilli,Right Handed,71,195,0.199,18
Doug Clemens,Left Handed,72,180,0.229,12
Doug DeCinces,Right Handed,74,190,0.259,237
Doug Flynn,Right Handed,71,165,0.238,7
Doug Frobel,Left Handed,76,196,0.201,20
Doug Griffin,Right Handed,72,160,0.245,7
Doug Rader,Right Handed,74,208,0.251,155
Duane Josephson,Right Handed,72,190,0.258,23
Duane Kuiper,Left Handed,72,175,0.271,1
Duane Walker,Left Handed,72,185,0.229,24
Duffy Dyer,Right Handed,72,187,0.221,30
Duke Sims,Left Handed,74,197,0.239,100
Dusty Baker,Right Handed,74,183,0.278,242
Dwayne Murphy,Left Handed,73,185,0.246,166
Earl Williams,Right Handed,75,215,0.247,138
Ed Brinkman,Right Handed,72,170,0.224,60
Ed Charles,Right Handed,70,170,0.263,86
Ed Crosby,Left Handed,74,175,0.22,0
Ed Goodson,Left Handed,75,180,0.26,30
Ed Herrmann,Left Handed,73,195,0.24,80
Ed Hodge,Left Handed,74,192,0,0
Ed Kirkpatrick,Left Handed,71,195,0.238,85
Ed Kranepool,Left Handed,75,205,0.261,118
Ed Ott,Left Handed,70,190,0.259,33
Ed Romero,Right Handed,71,160,0.247,8
Ed Spiezio,Right Handed,71,180,0.238,39
Ed Stroud,Left Handed,71,180,0.237,14
Eddie Leon,Right Handed,72,170,0.236,24
Eddie Milner,Left Handed,71,173,0.253,42
Elio Chacon,Right Handed,69,160,0.232,4
Ellie Hendricks,Left Handed,73,175,0.22,62
Ellie Rodriguez,Right Handed,71,185,0.245,16
Elliott Maddox,Right Handed,71,180,0.261,18
Ellis Valentine,Right Handed,76,205,0.278,123
Enos Cabell,Right Handed,76,170,0.277,60
Enzo Hernandez,Right Handed,68,155,0.224,2
Eric Hetzel,Right Handed,75,175,0,0
Eric Soderholm,Right Handed,71,187,0.264,102
Eric Wilkins,Right Handed,73,190,0,0
Felix Millan,Right Handed,71,172,0.279,22
