name,handedness,height,weight,avg,HR
Matty Alou,Left Handed,69,160,0.307,31
Max Alvis,Right Handed,71,185,0.247,111
Mel Stottlemyre_1,Right Handed,73,178,0.16,7
Mel Stottlemyre_2,Right Handed,72,190,0,0
Merritt Ranew,Left Handed,71,170,0.247,8
Merv Rettenmund,Right Handed,70,190,0.271,66
Mick Kelleher,Right Handed,69,176,0.213,0
Mickey Brantley,Right Handed,70,180,0.259,32
Mickey Hatcher,Right Handed,74,200,0.28,38
Mickey Klutts,Right Handed,71,170,0.241,14
Mickey Lolich,Both Handed,73,170,0.11,0
Mickey Rivers,Left Handed,70,165,0.295,61
Mickey Stanley,Right Handed,73,185,0.248,117
Miguel Dilone,Both Handed,72,160,0.265,6
Mike Anderson,Right Handed,74,200,0.246,28
Mike Andrews,Right Handed,75,195,0.258,66
Mike Bacsik,Right Handed,74,180,0,0
Mike Brown_1,Right Handed,74,195,0.265,23
Mike Brown_2,Right Handed,74,195,0,0
Mike Brumley,Left Handed,70,195,0.229,5
Mike Champion,Right Handed,72,185,0.229,2
Mike Cubbage,Left Handed,72,180,0.258,34
Mike Darr,Right Handed,76,190,0,0
Mike Davis,Left Handed,74,175,0.259,91
Mike de la Hoz,Right Handed,71,175,0.251,25
Mike Diaz,Right Handed,74,195,0.247,31
Mike Easler,Left Handed,72,190,0.293,118
Mike Edwards,Right Handed,70,154,0.25,2
Mike Epstein,Left Handed,75,230,0.244,130
Mike Fiore,Left Handed,72,175,0.227,13
Mike Fischlin,Right Handed,73,165,0.22,3
Mike Hargrove,Left Handed,72,195,0.29,80
Mike Hegan,Left Handed,73,188,0.242,53
Mike Hershberger,Right Handed,70,175,0.252,26
Mike Ivie,Right Handed,75,205,0.269,81
Mike Jones,Left Handed,78,215,0,0
Mike Jorgensen,Left Handed,72,195,0.243,95
Mike Kinnunen,Left Handed,73,185,0,0
Mike Krukow,Right Handed,77,205,0.193,5
Mike Loynd,Right Handed,76,210,0,0
Mike Lum,Left Handed,72,180,0.247,90
Mike Overy,Right Handed,74,190,0,0
Mike Parrott,Right Handed,76,210,0,0
Mike Paxton,Right Handed,71,190,0,0
Mike Pazik,Left Handed,74,195,0,0
Mike Phillips,Left Handed,72,170,0.24,11
Mike Ramsey,Both Handed,73,170,0.24,2
Mike Richardt,Right Handed,72,170,0.226,4
Mike Rochford,Left Handed,76,205,0,0
Mike Ryan,Right Handed,74,205,0.193,28
Mike Sadek,Right Handed,69,165,0.226,5
Mike Schmidt,Right Handed,74,195,0.267,548
Mike Shannon,Right Handed,75,195,0.255,68
Mike Smith,Right Handed,75,180,0,0
Mike Smithson,Left Handed,80,215,0,0
Mike Squires,Left Handed,71,185,0.26,6
Mike Trujillo,Right Handed,73,180,0,0
Mike Tyson,Right Handed,69,170,0.241,27
Mike Vail,Right Handed,73,180,0.279,34
Mike Walters,Right Handed,77,203,0,0
Mike Warren,Right Handed,73,175,0,0
Mike Willis,Left Handed,74,205,0,0
Mike Young,Both Handed,74,195,0.247,72
Milt May,Left Handed,72,190,0.263,77
Mitchell Page,Left Handed,74,205,0.266,72
Narciso Elvira,Left Handed,70,160,0,0
Nardi Contreras,Both Handed,74,193,0,0
Nate Colbert,Right Handed,74,190,0.243,173
Nate Oliver,Right Handed,70,160,0.226,2
Ned Yost,Right Handed,73,190,0.212,16
Nelson Mathews,Right Handed,76,195,0.223,22
Nick Esasky,Right Handed,75,200,0.25,122
Norm Miller,Left Handed,70,185,0.238,24
Ollie Brown,Right Handed,74,178,0.265,102
Omar Moreno,Left Handed,74,180,0.252,37
Onix Concepcion,Right Handed,66,160,0.239,3
Orlando Mercado,Right Handed,72,180,0.199,7
Oscar Gamble,Left Handed,71,160,0.265,200
Oswaldo Peraza,Right Handed,76,172,0,0
Otto Velez,Right Handed,72,170,0.251,78
Ozzie Osborn,Right Handed,74,195,0,0
Ozzie Virgil,Right Handed,73,180,0.243,98
Pat Corrales,Right Handed,72,180,0.216,4
Pat Kelly,Left Handed,73,185,0.264,76
Pat Putnam,Left Handed,72,205,0.255,63
Pat Underwood,Left Handed,72,175,0,0
Paul Blair,Right Handed,72,168,0.25,134
Paul Boris,Right Handed,74,200,0,0
Paul Casanova,Right Handed,76,180,0.225,50
Paul Dade,Right Handed,73,185,0.27,10
Paul Hartzell,Right Handed,77,200,0,0
Paul Householder,Both Handed,72,180,0.236,29
Paul Mitchell,Right Handed,73,195,0,0
Paul Popovich,Both Handed,72,175,0.233,14
Paul Schaal,Right Handed,71,165,0.244,57
Paul Wilmet,Right Handed,71,170,0,0
Pedro Garcia,Right Handed,70,175,0.22,37
Pedro Gonzalez,Right Handed,72,176,0.244,8
Pepe Frias,Right Handed,70,159,0.24,1
Pepe Mangual,Right Handed,70,157,0.242,16
Pete Filson,Both Handed,74,195,0,0
Pete LaCock,Left Handed,74,200,0.257,27
Pete Mackanin,Right Handed,74,190,0.226,30
Pete Rose,Both Handed,71,192,0.303,160
Pete Ward,Left Handed,73,185,0.254,98
Phil Bradley,Right Handed,72,185,0.286,78
Phil Gagliano,Right Handed,73,180,0.238,14
Phil Garner,Right Handed,70,175,0.26,109
Phil Huffman,Right Handed,74,180,0,0
Phil Linz,Right Handed,73,180,0.235,11
Phil Mankowski,Left Handed,72,180,0.264,8
Phil Niekro,Right Handed,73,180,0.169,7
Phil Roof,Right Handed,74,190,0.215,43
R.J. Reynolds,Both Handed,72,190,0.267,35
Rafael Landestoy,Both Handed,70,165,0.237,4
Rafael Santana,Right Handed,73,165,0.246,13
Rafael Vasquez,Right Handed,72,160,0,0
Ralph Botting,Left Handed,72,195,0,0
Ralph Garr,Left Handed,71,185,0.306,75
Ramon Manon,Right Handed,72,150,0,0
Ramon Pena,Right Handed,70,155,0,0
Randy Hundley,Right Handed,71,170,0.236,82
Randy Jones,Right Handed,72,178,0.132,0
Randy Nosek,Right Handed,76,215,0,0
Randy Scarbery,Both Handed,73,185,0,0
Randy Wiles,Left Handed,73,185,0,0
Ray Burris,Right Handed,77,200,0.151,1
Ray Chadwick,Both Handed,74,180,0,0
Ray Culp,Right Handed,72,200,0.123,1
Ray Fosse,Right Handed,74,215,0.256,61
Ray Knight,Right Handed,73,185,0.271,84
Ray Oyler,Right Handed,71,165,0.175,15
Ray Sadecki,Left Handed,71,180,0.191,5
Ray Webster,Left Handed,72,185,0.244,17
Reggie Jackson,Left Handed,72,195,0.262,563
Reggie Ritter,Left Handed,74,195,0,0
Reggie Smith,Both Handed,72,180,0.287,314
Reid Nichols,Right Handed,71,165,0.266,22
Rennie Stennett,Right Handed,71,160,0.274,41
Rey Quinones,Right Handed,71,160,0.243,29
Rich Barnes,Right Handed,76,186,0,0
Rich Chiles,Left Handed,71,170,0.254,6
Rich Coggins,Left Handed,68,170,0.265,12
Rich Dauer,Right Handed,72,180,0.257,43
Rich McKinney,Right Handed,71,185,0.225,20
Rich Morales,Right Handed,71,170,0.195,6
Rich Reese,Left Handed,75,185,0.253,52
Rich Rollins,Right Handed,70,185,0.269,77
Rich Wortham,Right Handed,72,185,0,0
Rich Yett,Right Handed,74,187,0,0
Richie Hebner,Left Handed,73,195,0.276,203
Richie Scheinblum,Both Handed,73,180,0.263,13
Richie Zisk,Right Handed,73,200,0.287,207
Rick Anderson,Right Handed,74,210,0,0
Rick Auerbach,Right Handed,72,165,0.22,9
Rick Bosetti,Right Handed,71,185,0.25,17
Rick Burleson,Right Handed,70,165,0.273,50
Rick Henninger,Right Handed,78,225,0,0
Rick Jones,Left Handed,77,190,0,0
Rick Joseph,Right Handed,73,192,0.243,13
Rick Kreuger,Right Handed,74,185,0,0
Rick Leach,Left Handed,73,180,0.268,18
Rick Lysander,Right Handed,74,190,0,0
Rick Manning,Left Handed,73,180,0.257,56
Rick Miller,Left Handed,72,175,0.269,28
Rick Monday,Left Handed,75,193,0.264,241
Rick Peters,Both Handed,69,170,0.277,2
Rick Reichardt,Right Handed,75,210,0.261,116
Rick Renick,Right Handed,72,188,0.221,20
Rick Rhoden,Right Handed,75,195,0.238,9
Rick Sofield,Left Handed,73,195,0.243,9
Rick Steirer,Right Handed,76,200,0,0
Rick Sweet,Both Handed,73,200,0.234,6
Rick Wise,Right Handed,73,180,0.195,15
Rickey Keeton,Right Handed,74,190,0,0
Rico Carty,Right Handed,75,200,0.299,204
Rico Petrocelli,Right Handed,72,175,0.251,210
Rob Andrews,Right Handed,72,185,0.251,3
Rob Picciolo,Right Handed,74,185,0.234,17
Rob Wilfong,Left Handed,73,180,0.248,39
Rob Woodward,Right Handed,75,185,0,0
Roberto Pena,Right Handed,68,170,0.245,13
Rod Carew,Left Handed,72,170,0.328,92
Rod Gilbreath,Right Handed,74,180,0.248,14
Rod Kanehl,Right Handed,73,180,0.241,6
Rodney Scott,Both Handed,72,160,0.236,3
Roger Freed,Right Handed,72,190,0.245,22
Roger Metzger,Both Handed,72,165,0.231,5
Roger Miller,Right Handed,75,200,0,0
Roger Repoz,Left Handed,75,190,0.224,82
Roger Slagle,Right Handed,75,190,0,0
Roger Weaver,Right Handed,75,190,0,0
Ron Blomberg,Left Handed,73,195,0.293,52
Ron Brand,Right Handed,67,167,0.239,3
Ron Cey,Right Handed,70,185,0.261,316
Ron Clark,Right Handed,70,175,0.189,5
Ron Davis,Right Handed,72,175,0.233,10
Ron Gardenhire,Right Handed,72,175,0.232,4
Ron Hodges,Left Handed,73,185,0.24,19
Ron Hunt,Right Handed,72,186,0.273,39
Ron Jackson,Right Handed,72,200,0.259,56
Ron LeFlore,Right Handed,72,200,0.288,59
Ron Musselman,Right Handed,74,185,0,0
Ron Oester,Both Handed,74,185,0.265,42
Ron Pruitt,Right Handed,72,185,0.269,12
Ron Reed,Right Handed,78,215,0.158,0
Ron Roenicke,Both Handed,72,180,0.238,17
Ron Romanick,Right Handed,76,195,0,0
Ron Santo,Right Handed,72,190,0.277,342
Ron Stone,Left Handed,74,185,0.241,6
Ron Swoboda,Right Handed,74,195,0.242,73
Ron Theobald,Right Handed,68,165,0.248,2
Ron Washington,Right Handed,71,155,0.261,20
Ron Woods,Right Handed,70,168,0.233,26
Rowland Office,Left Handed,72,170,0.259,32
Roy Branch,Right Handed,72,175,0,0
Roy Foster,Right Handed,72,185,0.253,45
Roy Howell,Left Handed,73,190,0.261,80
Roy Smalley,Both Handed,73,185,0.257,163
Roy White,Both Handed,70,160,0.271,160
Rudy Law,Left Handed,73,165,0.271,18
Rudy Meoli,Left Handed,69,165,0.212,2
Rufino Linares,Right Handed,72,170,0.27,11
Ruppert Jones,Left Handed,70,170,0.25,147
Russ Gibson,Right Handed,73,195,0.228,8
Rusty Staub,Left Handed,74,190,0.279,292
Rusty Torres,Both Handed,70,175,0.212,35
Sal Bando,Right Handed,72,195,0.254,242
Sal Butera,Right Handed,72,190,0.227,8
Sam Bowens,Right Handed,73,188,0.223,45
Sam Hinds,Right Handed,78,215,0,0
Sam McDowell,Left Handed,77,190,0.154,2
Sandy Alomar,Both Handed,69,140,0.245,13
Sandy Valdespino,Left Handed,68,170,0.23,7
Sandy Wihtol,Right Handed,73,195,0,0
Scot Thompson,Left Handed,75,195,0.262,5
Shawn Holman,Right Handed,74,185,0,0
Sherman Corbett,Left Handed,76,205,0,0
Sixto Lezcano,Right Handed,70,165,0.271,148
Skip Jutze,Right Handed,71,190,0.215,3
Sonny Jackson,Left Handed,69,150,0.251,7
Sonny Siebert,Right Handed,75,190,0.173,12
Stan Papi,Right Handed,72,170,0.218,7
Stan Thomas,Right Handed,74,185,0,0
Stefan Wever,Right Handed,80,245,0,0
Steve Adkins,Right Handed,78,210,0,0
Steve Barber,Left Handed,72,195,0.115,5
Steve Barr,Left Handed,76,200,0,0
Steve Blass,Right Handed,72,165,0.172,1
Steve Braun,Left Handed,70,180,0.271,52
Steve Brown,Right Handed,77,200,0,0
Steve Brye,Right Handed,72,190,0.258,30
Steve Burke,Both Handed,74,200,0,0
Steve Carlton,Left Handed,76,210,0.201,13
Steve Cummings,Both Handed,74,200,0,0
Steve Curry,Right Handed,78,217,0,0
Steve Davis,Left Handed,73,195,0,0
Steve Dillard,Right Handed,73,180,0.243,13
Steve Eddy,Right Handed,74,185,0,0
Steve Ellsworth,Right Handed,80,220,0,0
Steve Garvey,Right Handed,70,192,0.294,272
Steve Henderson,Right Handed,74,190,0.28,68
Steve Hovley,Left Handed,70,188,0.258,8
Steve Huntz,Both Handed,73,204,0.206,16
Steve Jeltz,Both Handed,71,180,0.21,5
Steve Kemp,Left Handed,72,195,0.278,130
Steve Lombardozzi,Right Handed,72,175,0.233,20
Steve Nicosia,Right Handed,70,185,0.248,11
Steve Ontiveros,Both Handed,72,185,0.274,24
Steve Renko,Right Handed,77,230,0.215,6
Steve Rogers,Right Handed,74,175,0.138,0
Steve Senteney,Right Handed,74,205,0,0
Steve Swisher,Right Handed,74,205,0.216,20
Steve Whitaker,Left Handed,72,180,0.23,24
Steve Yeager,Right Handed,72,190,0.228,102
Syd O'Brien,Right Handed,73,185,0.23,24
T.R. Bryden,Right Handed,76,190,0,0
Ted Cox,Right Handed,75,195,0.245,10
Ted Ford,Right Handed,70,180,0.219,17
Ted Kubiak,Both Handed,72,175,0.231,13
Ted Martinez,Right Handed,72,165,0.24,7
Ted Savage,Right Handed,73,185,0.233,34
Ted Simmons,Both Handed,71,193,0.285,248
Ted Sizemore,Right Handed,70,165,0.262,23
Ted Uhlaender,Left Handed,74,190,0.263,36
Terry Crowley,Left Handed,72,180,0.25,42
Terry Felton,Right Handed,73,180,0,0
Terry Francona,Left Handed,73,190,0.274,16
Terry Harmon,Right Handed,74,180,0.233,4
Terry Harper,Right Handed,76,195,0.253,36
Terry Humphrey,Right Handed,75,185,0.211,6
Terry Taylor,Right Handed,73,180,0,0
Terry Whitfield,Left Handed,73,197,0.281,33
Terry Wilshusen,Right Handed,74,210,0,0
Thad Bosley,Left Handed,75,175,0.272,20
Thurman Munson,Right Handed,71,190,0.292,113
Tim Blackwell,Both Handed,71,170,0.228,6
Tim Corcoran,Left Handed,71,175,0.27,12
Tim Cullen,Right Handed,73,185,0.22,9
Tim Flannery,Left Handed,71,175,0.255,9
Tim Foli,Right Handed,72,179,0.251,25
Tim Harkness,Left Handed,74,182,0.235,14
Tim Johnson,Left Handed,73,170,0.223,0
Tim Laudner,Right Handed,75,212,0.225,77
Tito Fuentes,Both Handed,71,175,0.268,45
Tito Landrum,Right Handed,71,175,0.249,13
Toby Harrah,Right Handed,72,175,0.264,195
Todd Cruz,Right Handed,72,175,0.22,34
Todd Fischer,Right Handed,70,170,0,0
Tom Brookens,Right Handed,70,165,0.246,71
Tom Brown,Right Handed,73,170,0,0
Tom Buskey,Right Handed,75,200,0,0
Tom Dozier,Right Handed,74,190,0,0
Tom Egan,Right Handed,76,218,0.2,22
Tom Gilles,Right Handed,73,185,0,0
Tom Grieve,Right Handed,74,190,0.249,65
Tom Haller,Left Handed,76,195,0.257,134
Tom Hutton,Left Handed,71,180,0.248,22
Tom Klawitter,Right Handed,74,190,0,0
Tom Lawless,Right Handed,71,170,0.207,2
Tom Makowski,Right Handed,71,185,0,0
Tom Matchick,Left Handed,73,173,0.215,4
Tom McCarthy,Right Handed,72,180,0,0
Tom Nieto,Right Handed,73,193,0.205,5
Tom O'Malley,Left Handed,72,180,0.256,13
Tom Paciorek,Right Handed,76,215,0.282,86
Tom Poquette,Left Handed,70,175,0.268,10
Tom Satriano,Left Handed,73,185,0.225,21
Tom Seaver,Right Handed,73,195,0.154,12
Tom Tresh,Both Handed,73,180,0.245,153
Tom Veryzer,Right Handed,73,175,0.241,14
Tommie Aaron,Right Handed,75,190,0.229,13
Tommie Agee,Right Handed,71,195,0.255,130
Tommie Reynolds,Right Handed,74,190,0.226,12
Tommy Dean,Right Handed,72,165,0.18,4
Tommy Harper,Right Handed,69,165,0.257,146
Tommy Helms,Right Handed,70,165,0.269,34
Tommy John,Right Handed,75,180,0.157,5
Tommy McCraw,Left Handed,72,183,0.246,75
Tony Armas,Right Handed,71,182,0.252,251
Tony Arnold,Right Handed,71,170,0,0
Tony Chevez,Right Handed,71,177,0,0
Tony Cloninger,Right Handed,72,210,0.192,11
Tony Conigliaro,Right Handed,75,185,0.264,166
Tony Ferreira,Left Handed,73,160,0,0
Tony Gonzalez,Left Handed,69,170,0.286,103
Tony Horton,Right Handed,75,210,0.268,76
Tony Mack,Right Handed,70,177,0,0
Tony Muser,Left Handed,74,180,0.259,7
Tony Oliva,Left Handed,73,175,0.304,220
Tony Perez,Right Handed,74,175,0.279,379
Tony Scott,Both Handed,72,164,0.249,17
Tony Solaita,Left Handed,72,210,0.255,50
Tucker Ashford,Right Handed,73,195,0.218,6
Ty Cline,Left Handed,72,170,0.238,6
U L Washington,Both Handed,71,175,0.251,27
Vance Lovelace,Left Handed,77,205,0,0
Vern Fuller,Right Handed,73,170,0.232,14
Vic Correll,Right Handed,70,185,0.229,29
Vic Davalillo,Left Handed,67,150,0.279,36
Vic Harris,Both Handed,71,165,0.217,13
Vida Blue,Both Handed,72,189,0.104,4
Von Joshua,Left Handed,70,170,0.273,30
Wallace Johnson,Both Handed,72,173,0.255,5
Walt Bond,Left Handed,79,228,0.256,41
Walt Williams,Right Handed,66,165,0.27,33
Wayne Comer,Right Handed,70,175,0.229,16
Wayne Garrett,Left Handed,71,175,0.239,61
Wayne Gross,Left Handed,74,210,0.233,121
Wayne Krenchicki,Left Handed,73,180,0.266,15
Wayne Nordhagen,Right Handed,74,205,0.282,39
Wayne Tolleson,Both Handed,69,160,0.241,9
Wes Parker,Both Handed,73,180,0.267,64
Wilbur Howard,Both Handed,74,170,0.25,6
Willie Aikens,Left Handed,75,220,0.271,110
Willie Crawford,Left Handed,73,197,0.268,86
Willie Davis,Left Handed,74,180,0.279,182
Willie Horton,Right Handed,71,209,0.273,325
Willie Montanez,Left Handed,72,170,0.275,139
Willie Mueller,Right Handed,76,220,0,0
Willie Norwood,Right Handed,72,185,0.242,18
Willie Smith,Left Handed,72,182,0.248,46
Willie Stargell,Left Handed,74,188,0.282,475
Willie Upshaw,Left Handed,72,185,0.262,123
Win Remmerswaal,Right Handed,74,160,0,0
Winston Llenas,Right Handed,70,165,0.23,3
Woodie Fryman,Right Handed,75,197,0.138,2
Woody Woodward,Right Handed,74,180,0.236,1
Zach Crouch,Left Handed,75,180,0,0
